Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(2),Chrome 83.0.4103.116,,,2020-07-09 16:25:09,2020-07-09 16:25:11,2.001s,PASSED
refresh(),Chrome 83.0.4103.116,,,2020-07-09 16:25:11,2020-07-09 16:25:12,0.856s,PASSED
"callTestCase(findTestCase(""Services/SVC_Get Capture""), null, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:12,2020-07-09 16:25:13,1.616s,PASSED
"verifyElementPresent(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/delete_items_keranjang""), 5, CONTINUE_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:13,2020-07-09 16:25:14,0.253s,PASSED
"click(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/delete_items_keranjang""), CONTINUE_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:14,2020-07-09 16:25:14,0.297s,PASSED
"click(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/button_Ya0""), CONTINUE_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:14,2020-07-09 16:25:14,0.500s,PASSED
delay(2),Chrome 83.0.4103.116,,,2020-07-09 16:25:14,2020-07-09 16:25:16,2.001s,PASSED
refresh(),Chrome 83.0.4103.116,,,2020-07-09 16:25:16,2020-07-09 16:25:17,1.056s,PASSED
"callTestCase(findTestCase(""Services/SVC_Get Capture""), null, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:17,2020-07-09 16:25:19,1.595s,PASSED
"verifyElementPresent(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/delete_items_keranjang""), 5, CONTINUE_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:19,2020-07-09 16:25:19,0.244s,PASSED
"click(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/delete_items_keranjang""), CONTINUE_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:19,2020-07-09 16:25:20,0.294s,PASSED
"click(findTestObject(""Pembelian/Beli_Negatif/Page_Tas Belanja  IDPhotobook/button_Ya0""), CONTINUE_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:20,2020-07-09 16:25:20,0.497s,PASSED
delay(2),Chrome 83.0.4103.116,,,2020-07-09 16:25:20,2020-07-09 16:25:22,2.000s,PASSED
"callTestCase(findTestCase(""Services/SVC_Get Capture""), null, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:22,2020-07-09 16:25:24,1.609s,PASSED
"verifyTextPresent(""Keranjang belanja moms masih kosong!"", false, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:25:24,2020-07-09 16:25:24,0.252s,PASSED
closeBrowser(),Chrome 83.0.4103.116,,,2020-07-09 16:25:24,2020-07-09 16:25:25,0.649s,PASSED
